"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","176935","Debería buscar y finalizar un viaje asignado en Monitoreo","chromium-demo","Sun Mar 08 23:50:53 UTC 2026","passed","Sun Mar 08 23:53:50 UTC 2026","[E2E] Viajes - Flujo Completo (Atómico)","","",""
"","22441","Should assign Viaje using entities from worker JSON","chromium-demo","Sun Mar 08 23:50:00 UTC 2026","passed","Sun Mar 08 23:50:22 UTC 2026","[V02] Viajes - Asignar","","",""
"","25556","Should assign Viaje using entities from worker JSON","chromium-qa","Sun Mar 08 23:34:43 UTC 2026","passed","Sun Mar 08 23:35:09 UTC 2026","[V02] Viajes - Asignar","","",""
"","24876","Debe crear un Cliente correctamente y guardar sus datos","chromium-qa","Sun Mar 08 23:27:50 UTC 2026","passed","Sun Mar 08 23:28:15 UTC 2026","[E02] Entidades - Crear Cliente","","",""
"","4458","authenticate","setup","Sun Mar 08 23:50:47 UTC 2026","passed","Sun Mar 08 23:50:52 UTC 2026","","","",""
"","13269","Should create a Vehiculo using Seeded Transportista","firefox-demo","Sun Mar 08 23:45:09 UTC 2026","passed","Sun Mar 08 23:45:22 UTC 2026","[E03] Entidades - Crear Vehículo","","",""
"","180637","Debería buscar y finalizar un viaje asignado en Monitoreo","firefox-demo","Sun Mar 08 23:54:28 UTC 2026","passed","Sun Mar 08 23:57:28 UTC 2026","[E2E] Viajes - Flujo Completo (Atómico)","","",""
"","39622","Should planificar a new Viaje using entities from JSON","chromium-qa","Sun Mar 08 23:33:12 UTC 2026","passed","Sun Mar 08 23:33:52 UTC 2026","[V01] Viajes - Planificar","","",""
"","42688","Create Contract (Costo) using Seeded Transportista","chromium-qa","Sun Mar 08 23:30:01 UTC 2026","passed","Sun Mar 08 23:30:44 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","42950","Create Contract (Costo) using Seeded Transportista","firefox-demo","Sun Mar 08 23:47:32 UTC 2026","passed","Sun Mar 08 23:48:15 UTC 2026","[C01] Contratos - Tipo Costo","","",""
"","19992","Debe crear un Cliente correctamente y guardar sus datos","chromium-demo","Sun Mar 08 23:44:02 UTC 2026","passed","Sun Mar 08 23:44:22 UTC 2026","[E02] Entidades - Crear Cliente","","",""
